id,transactiontime,completiontime,transferFloor,unitPrice,priceWithoutParking,roomNumber,hallNumber,bathNumber,buildingTransferArea,parkingSpacePrice,parkingSpaceTransferArea,price,landAmount,buildingAmount,parkAmount,buildingType,floor,urbanLandUse,buildingArea,subBuildingArea,belconyArea,landTransferArea,parkingSpaceType,longitude,latitude,yhat-hnn,y_x,yhat-mlp,y_y,address
RPROMLMLNHKFFAH08CA,2015/4/10 00:00:00,1994/3/5 00:00:00,7,51608,5200022,3,2,2,101,0,0,5200022,1,1,0,4,8,0,82,0,7,18,0,121.2748176619997,24.991814206060145,53664.934826206765,51607.99986590646,55115.210201778966,51607.99986590646,桃園市桃園區國豐十街256之1號七樓
RPROMLPKNHKFFAH28CA,2015/4/3 00:00:00,1994/4/13 00:00:00,8,42750,4849987,2,2,1,113,0,0,4849987,1,1,0,4,8,0,81,0,11,18,0,121.27647287002372,24.992208386123934,45993.03593284529,42750.00171286306,47587.688011273465,42750.00171286306,桃園市桃園區國豐六街２１３號八樓
RPOPMLSKQHKFFAH78DA,2015/7/8 00:00:00,2006/9/13 00:00:00,6,50842,6399483,2,2,1,126,0,0,6399483,1,1,1,4,10,0,64,1,4,19,2,121.2754432153921,24.992472117113977,49986.95316691391,50841.99977172386,48546.9505816705,50841.99977172386,桃園市桃園區國強十三街９８號６樓
RPQRMLQKRHKFFAH98CA,2015/8/10 00:00:00,1994/3/5 00:00:00,2,49470,3500003,2,1,1,71,0,0,3500003,1,1,0,4,8,0,50,0,7,13,0,121.2748176619997,24.991814206060145,51940.97575657607,49470.000940355945,52203.77529930683,49470.000940355945,桃園市桃園區國豐十街２６０號二樓
RPUNMLSKRHKFFAH56CA,2015/7/23 00:00:00,1994/3/21 00:00:00,7,50758,4685979,3,2,2,156,0,63,4685979,1,1,1,4,7,0,82,1,10,20,2,121.27686515158553,24.990438105033764,53431.42303758659,50757.99973324154,51458.41455989408,50757.99973324154,桃園市桃園區國豐七街６４號七樓
RPSSMLOKKIKFFAH48CA,2015/10/23 00:00:00,1994/4/13 00:00:00,7,41584,4800041,3,2,2,115,0,0,4800041,1,1,0,4,8,0,84,0,8,19,0,121.27647287002372,24.992208386123934,49992.935069525985,41584.000536842956,57526.3632961133,41584.000536842956,桃園市桃園區國豐六街２１９號七樓
RPWQMLQJOHLFFAH56CA,2016/5/13 00:00:00,1999/1/21 00:00:00,8,52559,4950007,3,2,2,94,0,0,4950007,1,1,0,0,13,0,57,0,13,10,0,121.27510646632513,24.992499825075296,55023.10650104759,52558.999916472036,57765.38118481692,52558.999916472036,桃園市桃園區文中路749巷13號八樓
RPXPMLKLPHLFFAH88CA,2016/6/15 00:00:00,1994/4/13 00:00:00,6,42047,4700014,3,2,2,112,0,0,4700014,1,1,0,4,8,0,79,0,11,18,0,121.27647287002372,24.992208386123934,45418.28919970765,42047.000107105036,45103.08687302134,42047.000107105036,桃園市桃園區國豐六街２０９之２號六樓
RPSRMLMKPHLFFAH68CA,2016/5/30 00:00:00,1999/1/21 00:00:00,2,48418,5999959,3,2,2,124,0,0,5999959,1,1,1,0,13,0,57,0,13,10,2,121.27510646632513,24.992499825075296,51894.63247475466,48417.99981656185,51674.92415844019,48417.99981656185,桃園市桃園區文中路７４９巷１３號二樓
RPWNMLTLRHLFFAH17DA,2016/8/26 00:00:00,1999/1/21 00:00:00,5,50979,6980045,3,2,2,137,0,0,6980045,1,1,1,0,13,0,66,0,13,12,2,121.27510646632513,24.992499825075296,39391.58297275484,50978.99970611693,50398.65540943932,50978.99970611693,桃園市桃園區國強十三街１００號５樓
RPUPMLSKJILFFAH78CA,2016/9/25 00:00:00,1994/3/5 00:00:00,5,42808,5499972,3,2,1,128,0,0,5499972,1,1,1,4,8,0,78,2,10,18,2,121.27479917462824,24.992410109656127,45205.80129748408,42807.999172038915,41801.44287009109,42807.999172038915,桃園市桃園區文中路749巷10號五樓
RPSNMLPLJILFFAH28DA,2016/10/9 00:00:00,1999/1/21 00:00:00,13,48069,5949981,3,2,2,124,0,0,5949981,1,1,1,0,13,0,60,0,12,11,2,121.27510646632513,24.992499825075296,50420.89624119446,48068.999528307206,53940.03244902598,48068.999528307206,桃園市桃園區文中路７４９巷７號１３樓
RPTNMLPJJHMFFAH08CA,2016/11/28 00:00:00,2014/6/30 00:00:00,5,75621,14315055,3,2,2,263,2900000,73,17215055,1,1,2,0,11,0,116,2,13,32,2,121.27611628948424,24.99222710488751,75720.723492723,75620.99944190236,75402.50768583715,75620.99944190236,桃園市桃園區桃園區龍安里6鄰國強十三街77號5樓
RPRPMLOJJHMFFAH18EA,2016/12/6 00:00:00,1994/3/5 00:00:00,2,56185,5599959,3,1,2,100,0,0,5599959,1,1,0,4,8,0,78,1,10,18,0,121.27479917462824,24.992410109656127,45913.69494656157,56184.99990881869,42125.79346797742,56184.99990881869,桃園市桃園區文中路７４９巷６號二樓
RPQOMLOLKHMFFAH08CA,2017/2/10 00:00:00,2014/6/30 00:00:00,7,71235,15500024,3,2,2,254,1500000,37,17000024,1,1,1,0,11,0,132,5,13,37,2,121.27611628948424,24.99222710488751,68006.45795607564,71234.99974323114,72295.55761035476,71234.99974323114,桃園市桃園區龍安里6鄰國強十三街79號7樓
RPPPMLRKPHMFFAH98EA,2017/2/8 00:00:00,1994/3/5 00:00:00,2,45936,3249972,2,1,1,71,0,0,3249972,1,1,0,4,8,0,50,0,7,13,0,121.2748176619997,24.991814206060145,51935.87498402106,45935.99932134967,52203.77529930683,45935.99932134967,桃園市桃園區國豐十街２６０號二樓
RPUOMLPJMHMFFAH58CA,2017/2/19 00:00:00,2014/6/30 00:00:00,2,78652,14713430,3,2,2,260,3000000,73,17713430,1,1,2,0,11,0,116,0,13,32,2,121.27611628948424,24.99222710488751,78470.98842405528,78652.000188624,74591.45076741863,78652.000188624,桃園市桃園區龍安里6鄰國強十三街77號2樓
RPSNMLQJOHMFFAH58CA,2017/4/30 00:00:00,1999/1/21 00:00:00,7,50436,7799927,4,2,2,155,0,0,7799927,1,1,1,0,13,0,82,0,14,15,2,121.27510646632513,24.992499825075296,56485.22783840099,50436.00022757478,58804.74552490141,50436.00022757478,桃園市桃園區國強十三街１０４號七樓
RPXNMLLJKIMFFAH28CA,2017/9/29 00:00:00,1994/3/30 00:00:00,9,45225,6449990,3,2,2,143,0,0,6449990,1,1,1,4,9,0,90,4,10,20,2,121.27783065991451,24.992494763440178,45405.60273689956,45225.00092117075,48222.83798132581,45225.00092117075,桃園市桃園區國豐三街２１５號九樓
RPUPMLOKJIMFFAH48CA,2017/10/5 00:00:00,1994/3/30 00:00:00,3,48030,6899990,3,2,2,144,0,0,6899990,1,1,1,4,9,0,91,4,9,20,2,121.27783065991451,24.992494763440178,50288.78276603613,48030.00028065899,50177.47039154975,48030.00028065899,桃園市桃園區國豐三街219號三樓
RPPNMLLLJIMFFAH57CA,2017/10/15 00:00:00,1999/1/21 00:00:00,10,49636,6200033,4,2,2,125,0,0,6200033,1,1,0,0,13,0,82,0,14,15,0,121.27510646632513,24.992499825075296,51843.781873795175,49636.00037455553,51669.07319298695,49636.00037455553,桃園市桃園區文中路７４９巷１５號十樓
RPPRMLMKMHNFFAH28CA,2018/2/12 00:00:00,2006/9/13 00:00:00,4,46184,7660078,4,2,2,166,0,0,7660078,1,1,1,4,10,0,92,2,5,27,2,121.2754432153921,24.992472117113977,51167.12463183909,46184.00007681296,51361.2100866077,46184.00007681296,桃園市桃園區國強十三街８６之１號四樓
RPRPMLMJIINFFAH97DA,2018/8/12 00:00:00,2006/9/13 00:00:00,3,49102,6149534,2,2,1,125,1100000,0,7249534,1,1,1,4,10,0,64,1,3,19,2,121.2754432153921,24.992472117113977,49679.330946395974,49102.00012991791,48817.55840782437,49102.00012991791,桃園市桃園區國強十三街９６號３樓
RPQOMLTKLHOFFAH98EA,2018/11/17 00:00:00,1994/3/21 00:00:00,7,25174,3400000,1,1,1,135,0,0,3400000,1,1,0,5,7,0,50,69,9,11,0,121.27686515158553,24.990438105033764,43443.7298869016,25173.99879568576,35524.604307751084,25173.99879568576,桃園市桃園區國豐七街７２號七樓
RPSRMLTLJHOFFAH56CA,2018/12/19 00:00:00,1994/3/5 00:00:00,3,41508,4350038,3,2,2,105,0,0,4350038,1,1,0,4,8,0,81,0,12,19,0,121.2748176619997,24.991814206060145,41912.822253594044,41508.00114387444,45290.051657005344,41508.00114387444,桃園市桃園區國豐十街２５６之２號三樓
RPPNMLRKNHLFFAH28CA,2016/4/17 00:00:00,1994/9/15 00:00:00,8,40665,4229973,3,2,2,104,0,0,4229973,2,1,1,4,8,2,78,0,9,19,2,121.3014562625302,25.03280521526776,44179.47155900647,40664.99883213039,49767.13470934231,40664.99883213039,桃園市桃園區水汴二路２３號八樓之１　　　　
RPPQMLLLMHLFFAH97CA,2016/3/31 00:00:00,2008/3/30 00:00:00,3,42348,24418704,0,0,0,577,0,0,24418704,2,2,0,4,10,4,401,15,0,98,0,121.30552192563988,25.0299349541294,9.6277322669084e+21,42347.999603151206,-2.4069330667270998e+35,42347.999603151206,桃園市桃園區春日路１４９２之２號三樓及春日路1492之3號三樓
